,msg_id,entity_id,userbot_id,mentioned,link_value,link_type,counter,mention_type,entity_members_count,entity_views,sponsored_message_text,created
78,53047,1001934214,6178760839,1226597964,kamchatkamediaru,public_channel,1,normal,6804.0,1469.0,,2023-03-23 10:37:11
79,53047,1001934214,6178760839,1279994826,amurmedialife,public_channel,1,normal,6804.0,1469.0,,2023-03-23 10:37:11
80,53047,1001934214,6178760839,1289169236,ussurmedianews,public_channel,1,normal,6804.0,1469.0,,2023-03-23 10:37:11
81,53047,1001934214,6178760839,1328213267,sakhalinmedianews,public_channel,1,normal,6804.0,1469.0,,2023-03-23 10:37:11
82,53047,1001934214,6178760839,1334310346,yakutiamedianews,public_channel,1,normal,6804.0,1469.0,,2023-03-23 10:37:11
83,53047,1001934214,6178760839,1517912385,eaomedia,public_channel,1,normal,6804.0,1469.0,,2023-03-23 10:37:11
84,53047,1001934214,6178760839,1544959493,chitamediasu,public_channel,1,normal,6804.0,1469.0,,2023-03-23 10:37:11
85,53047,1001934214,6178760839,1765200352,u2city,public_channel,1,normal,6804.0,1469.0,,2023-03-23 10:37:11
86,53082,1001934214,6178760839,1313278926,ryba_rossii,public_channel,1,normal,6798.0,1398.0,,2023-03-24 04:13:32
87,53099,1001934214,6178760839,1018929686,primamedia,public_channel,1,normal,6795.0,1403.0,,2023-03-24 11:05:18
88,53099,1001934214,6178760839,1216668473,priamurmedia,public_channel,1,normal,6795.0,1403.0,,2023-03-24 11:05:18
89,53099,1001934214,6178760839,1226597964,kamchatkamediaru,public_channel,1,normal,6795.0,1403.0,,2023-03-24 11:05:18
90,53099,1001934214,6178760839,1279994826,amurmedialife,public_channel,1,normal,6795.0,1403.0,,2023-03-24 11:05:18
91,53099,1001934214,6178760839,1289169236,ussurmedianews,public_channel,1,normal,6795.0,1403.0,,2023-03-24 11:05:18
92,53099,1001934214,6178760839,1328213267,sakhalinmedianews,public_channel,1,normal,6795.0,1403.0,,2023-03-24 11:05:18
93,53099,1001934214,6178760839,1334310346,yakutiamedianews,public_channel,1,normal,6795.0,1403.0,,2023-03-24 11:05:18
94,53099,1001934214,6178760839,1517912385,eaomedia,public_channel,1,normal,6795.0,1403.0,,2023-03-24 11:05:18
95,53099,1001934214,6178760839,1544959493,chitamediasu,public_channel,1,normal,6795.0,1403.0,,2023-03-24 11:05:18
96,53099,1001934214,6178760839,1765200352,u2city,public_channel,1,normal,6795.0,1403.0,,2023-03-24 11:05:18
97,53155,1001934214,6178760839,1018929686,primamedia,public_channel,1,normal,6793.0,,,2023-03-27 10:54:33
98,53155,1001934214,6178760839,1216668473,priamurmedia,public_channel,1,normal,6793.0,,,2023-03-27 10:54:33
99,53155,1001934214,6178760839,1226597964,kamchatkamediaru,public_channel,1,normal,6793.0,,,2023-03-27 10:54:33
